Freq[Hz]  Imp[Ohm]  Phase[Deg]
4763.35     11.419   -11.445
4832.64     11.339   -11.706
4902.93     11.259   -11.949
4974.24     11.178   -12.173
5046.60     11.097   -12.376
5120.00     11.016   -12.562
5194.47     10.934   -12.730
5270.03     10.853   -12.879
5346.68     10.771   -13.009
5424.45     10.689   -13.122
5503.35     10.608   -13.218
5583.40     10.525   -13.277
5664.61     10.442   -13.305
5747.01     10.361   -13.315
5830.60     10.281   -13.310
5915.41     10.218   -13.283
6001.45     10.159   -13.246
6088.74     10.102   -13.201
6177.30     10.044   -13.158
6267.15      9.980   -13.161
6358.31      9.917   -13.154
6450.80      9.854   -13.137
6544.62      9.792   -13.100
6639.82      9.730   -13.038
6736.40      9.670   -12.967
6834.38      9.610   -12.887
6933.79      9.552   -12.796
7034.64      9.495   -12.695
7136.96      9.439   -12.587
7240.77      9.385   -12.471
7346.09      9.332   -12.339
7452.94      9.281   -12.201
7561.35      9.231   -12.057
7671.33      9.182   -11.905
7782.91      9.135   -11.743
7896.12      9.089   -11.577
8010.97      9.045   -11.406
8127.49      9.002   -11.227
8245.71      8.961   -11.043
8365.65      8.921   -10.855
8487.33      8.883   -10.663
8610.78      8.846   -10.466
8736.03      8.810   -10.265
8863.09      8.776   -10.062
8992.01      8.742    -9.856
9122.80      8.711    -9.646
9255.50      8.681    -9.434
9390.12      8.652    -9.221
9526.70      8.624    -9.009
9665.27      8.598    -8.798
9805.86      8.572    -8.587
9948.49      8.548    -8.374
10093.2      8.524    -8.167
10240.0      8.501    -7.960
10388.9      8.479    -7.752
10540.1      8.457    -7.544
10693.4      8.435    -7.337
10848.9      8.414    -7.128
11006.7      8.394    -6.919
11166.8      8.374    -6.708
11329.2      8.354    -6.493
11494.0      8.336    -6.278
11661.2      8.317    -6.063
11830.8      8.300    -5.845
12002.9      8.283    -5.626
12177.5      8.267    -5.406
12354.6      8.251    -5.187
12534.3      8.236    -4.963
12716.6      8.222    -4.740
12901.6      8.208    -4.517
13089.2      8.195    -4.293
13279.6      8.182    -4.067
13472.8      8.170    -3.842
13668.8      8.159    -3.617
13867.6      8.148    -3.391
14069.3      8.138    -3.165
14273.9      8.128    -2.940
14481.5      8.118    -2.715
14692.2      8.109    -2.484
14905.9      8.101    -2.253
15122.7      8.093    -2.023
15342.7      8.086    -1.794
15565.8      8.082    -1.569
15792.2      8.079    -1.346
16021.9      8.076    -1.124
16255.0      8.072    -0.906
16491.4      8.066    -0.693
16731.3      8.060    -0.480
16974.7      8.055    -0.269
17221.6      8.051    -0.050
17472.1      8.047     0.170
17726.2      8.043     0.389
17984.0      8.040     0.608
18245.6      8.037     0.828
18511.0      8.035     1.047
18780.2      8.033     1.265
19053.4      8.031     1.480
19330.5      8.029     1.694
19611.7      8.027     1.907
19897.0      8.026     2.118
20186.4      8.025     2.329
20480.0      8.025     2.538
20777.9      8.024     2.747
21080.1      8.024     2.954
21386.7      8.024     3.160
21697.8      8.024     3.365
22013.4      8.024     3.569
22333.6      8.025     3.772
22658.4      8.026     3.974
22988.0      8.027     4.175
23322.4      8.028     4.375
23661.6      8.029     4.574
24005.8      8.031     4.772
24355.0      8.032     4.968
24709.2      8.034     5.164
25068.6      8.036     5.359
25433.2      8.038     5.553
25803.2      8.041     5.746
26178.5      8.043     5.937
26559.3      8.045     6.128
26945.6      8.048     6.318
27337.5      8.051     6.507
27735.2      8.054     6.695
28138.6      8.056     6.883
28547.9      8.059     7.069
28963.1      8.063     7.255
29384.4      8.066     7.439
29811.8      8.069     7.623
30245.4      8.072     7.806
30685.3      8.076     7.988
31131.7      8.079     8.169
31584.5      8.083     8.350
32043.9      8.087     8.530
32510.0      8.090     8.709
32982.8      8.094     8.887
33462.6      8.098     9.065
33949.3      8.102     9.241
34443.1      8.106     9.417
34944.1      8.110     9.593
35452.4      8.114     9.768
35968.0      8.118     9.942
36491.2      8.122    10.115
37022.0      8.126    10.288
37560.5      8.130    10.460
38106.8      8.135    10.631
38661.1      8.139    10.802
39223.4      8.143    10.973
39793.9      8.147    11.142
