Freq[Hz]      Mag   Phase[Deg]
4305.39     93.562     0.000
4368.01     93.426     0.000
4431.55     93.295     0.000
4496.01     93.175     0.000
4561.40     93.096     0.000
4627.75     93.055     0.000
4695.06     93.025     0.000
4763.35     92.998     0.000
4832.64     92.984     0.000
4902.93     92.983     0.000
4974.24     92.991     0.000
5046.60     93.001     0.000
5120.00     92.988     0.000
5194.47     92.930     0.000
5270.03     92.836     0.000
5346.68     92.729     0.000
5424.45     92.595     0.000
5503.35     92.400     0.000
5583.40     92.169     0.000
5664.61     91.959     0.000
5747.01     91.817     0.000
5830.60     91.806     0.000
5915.41     91.857     0.000
6001.45     91.917     0.000
6088.74     92.002     0.000
6177.30     92.104     0.000
6267.15     92.203     0.000
6358.31     92.267     0.000
6450.80     92.278     0.000
6544.62     92.274     0.000
6639.82     92.270     0.000
6736.40     92.263     0.000
6834.38     92.252     0.000
6933.79     92.216     0.000
7034.64     92.123     0.000
7136.96     91.989     0.000
7240.77     91.865     0.000
7346.09     91.783     0.000
7452.94     91.737     0.000
7561.35     91.711     0.000
7671.33     91.705     0.000
7782.91     91.697     0.000
7896.12     91.623     0.000
8010.97     91.474     0.000
8127.49     91.312     0.000
8245.71     91.169     0.000
8365.65     91.054     0.000
8487.33     90.997     0.000
8610.78     91.006     0.000
8736.03     91.055     0.000
8863.09     91.127     0.000
8992.01     91.207     0.000
9122.80     91.282     0.000
9255.50     91.352     0.000
9390.12     91.432     0.000
9526.70     91.519     0.000
9665.27     91.558     0.000
9805.86     91.496     0.000
9948.49     91.326     0.000
10093.2     91.036     0.000
10240.0     90.695     0.000
10388.9     90.478     0.000
10540.1     90.316     0.000
10693.4     90.027     0.000
10848.9     89.646     0.000
11006.7     89.235     0.000
11166.8     88.889     0.000
11329.2     88.690     0.000
11494.0     88.588     0.000
11661.2     88.527     0.000
11830.8     88.487     0.000
12002.9     88.486     0.000
12177.5     88.556     0.000
12354.6     88.637     0.000
12534.3     88.612     0.000
12716.6     88.493     0.000
12901.6     88.387     0.000
13089.2     88.350     0.000
13279.6     88.341     0.000
13472.8     88.260     0.000
13668.8     88.172     0.000
13867.6     88.192     0.000
14069.3     88.327     0.000
14273.9     88.423     0.000
14481.5     88.478     0.000
14692.2     88.601     0.000
14905.9     88.763     0.000
15122.7     88.872     0.000
15342.7     88.850     0.000
15565.8     88.712     0.000
15792.2     88.607     0.000
16021.9     88.730     0.000
16255.0     89.003     0.000
16491.4     89.142     0.000
16731.3     89.131     0.000
16974.7     89.150     0.000
17221.6     89.152     0.000
17472.1     89.238     0.000
17726.2     89.445     0.000
17984.0     89.537     0.000
18245.6     89.291     0.000
18511.0     89.098     0.000
18780.2     89.252     0.000
19053.4     89.369     0.000
19330.5     89.433     0.000
19611.7     89.533     0.000
19897.0     89.592     0.000
20186.4     89.593     0.000
20480.0     89.594     0.000
20777.9     89.596     0.000
21080.1     89.598     0.000
21386.7     89.600     0.000
21697.8     89.603     0.000
22013.4     89.607     0.000
